,0_kernel_size,0_n_epochs,0_n_batch_size,tp,tn,fp,fn,sens,spec,acc,mcc,auroc,prec
0,5,10,32,596,660,52,116,83.70786516853933,92.69662921348315,88.20224719101124,0.7671504358787344,94.82802834238102,91.9753086419753
1,6,10,32,586,649,63,126,82.30337078651685,91.15168539325843,86.72752808988764,0.7374430537793908,93.58745739174347,90.29275808936826
2,7,10,32,596,648,64,116,83.70786516853933,91.01123595505618,87.35955056179775,0.7491917481021805,94.13189622522408,90.30303030303031
3,8,10,32,592,674,38,120,83.14606741573034,94.66292134831461,88.90449438202246,0.7833020060650998,95.09551350839541,93.96825396825396
4,9,10,32,553,677,35,159,77.6685393258427,95.08426966292134,86.37640449438202,0.7388188340435563,95.0375189370029,94.04761904761905
5,10,10,32,637,624,88,75,89.46629213483146,87.64044943820225,88.55337078651685,0.7711959733062325,95.29336573664942,87.86206896551724
6,11,10,32,591,672,40,121,83.00561797752809,94.3820224719101,88.6938202247191,0.7789333984845659,95.32236302234567,93.6608557844691
7,12,10,32,631,635,77,81,88.62359550561798,89.18539325842697,88.90449438202246,0.7781021668398322,95.65474687539451,89.12429378531074
8,13,10,32,618,637,75,94,86.79775280898876,89.46629213483146,88.1320224719101,0.7629121365767878,94.78542008584775,89.17748917748918
9,14,10,32,584,652,60,128,82.02247191011236,91.57303370786516,86.79775280898876,0.7393346354239346,94.11315648276734,90.6832298136646
10,5,20,32,622,638,74,90,87.35955056179775,89.60674157303372,88.48314606741573,0.7698573297680225,94.59900896351469,89.36781609195403
11,6,20,32,617,648,64,95,86.65730337078652,91.01123595505618,88.83426966292134,0.7774226122926757,94.89263113874512,90.60205580029368
12,7,20,32,544,678,34,168,76.40449438202246,95.2247191011236,85.81460674157303,0.7293249574894728,94.04598930059335,94.11764705882352
13,8,20,32,654,622,90,58,91.85393258426966,87.35955056179775,89.60674157303372,0.7929360807048015,95.73522913773513,87.90322580645162
14,9,20,32,626,646,66,86,87.92134831460675,90.73033707865169,89.32584269662921,0.7868273350138041,95.2499684383285,90.46242774566474
15,10,20,32,654,624,88,58,91.85393258426966,87.64044943820225,89.74719101123596,0.7956504105743675,95.49644536674661,88.14016172506739
16,11,20,32,627,647,65,85,88.06179775280899,90.87078651685393,89.46629213483146,0.7896374326388533,95.49841797121576,90.60693641618496
17,12,20,32,652,588,124,60,91.57303370786516,82.58426966292134,87.07865168539325,0.7445871877646539,95.32403973614441,84.02061855670104
18,13,20,32,670,569,143,42,94.10112359550563,79.91573033707866,87.00842696629213,0.747729882545708,96.04216639313218,82.41082410824109
19,14,20,32,649,616,96,63,91.15168539325843,86.51685393258427,88.83426966292134,0.7775209643898551,95.52139881328115,87.11409395973155
20,5,30,32,623,634,78,89,87.5,89.04494382022472,88.27247191011236,0.7655408052619951,94.81816532003535,88.87303851640513
21,6,30,32,627,654,58,85,88.06179775280899,91.85393258426966,89.95786516853933,0.7997325293910595,95.26140954424946,91.53284671532846
22,7,30,32,609,659,53,103,85.53370786516854,92.5561797752809,89.04494382022472,0.782831533305621,94.77496528216133,91.99395770392749
23,8,30,32,628,647,65,84,88.20224719101124,90.87078651685393,89.53651685393258,0.7910120311100027,95.15548068425701,90.62049062049063
24,9,30,32,640,628,84,72,89.8876404494382,88.20224719101124,89.04494382022472,0.7810098091704872,95.07845047973741,88.39779005524862
25,10,30,32,654,610,102,58,91.85393258426966,85.67415730337079,88.76404494382022,0.7767655368082974,95.79430864158566,86.5079365079365
26,11,30,32,555,686,26,157,77.9494382022472,96.34831460674157,87.14887640449437,0.7558816780492003,94.6790967049615,95.5249569707401
27,12,30,32,644,645,67,68,90.4494382022472,90.58988764044943,90.51966292134831,0.8103940577208305,95.73493324706477,90.57665260196906
28,13,30,32,623,667,45,89,87.5,93.67977528089888,90.58988764044943,0.813352319339123,96.13497743340487,93.26347305389223
29,14,30,32,642,637,75,70,90.1685393258427,89.46629213483146,89.81741573033707,0.79636795133609,95.78927850018938,89.5397489539749
30,5,40,32,598,658,54,114,83.98876404494382,92.41573033707866,88.20224719101124,0.7667723640221848,95.05172168918065,91.71779141104295
31,6,40,32,648,623,89,64,91.01123595505618,87.5,89.25561797752809,0.7855967813178709,95.30194656609015,87.92401628222524
32,7,40,32,647,605,107,65,90.87078651685393,84.97191011235955,87.92134831460675,0.759749959389138,95.21682868324707,85.80901856763926
33,8,40,32,633,648,64,79,88.90449438202246,91.01123595505618,89.95786516853933,0.7993347098201676,95.49713577831082,90.81779053084648
34,9,40,32,616,650,62,96,86.51685393258427,91.29213483146067,88.90449438202246,0.7789785589328326,94.73561182300216,90.85545722713864
35,10,40,32,643,628,84,69,90.30898876404494,88.20224719101124,89.25561797752809,0.7852866481361577,94.09530441232167,88.44566712517194
36,11,40,32,637,646,66,75,89.46629213483146,90.73033707865169,90.09831460674157,0.8020303692864897,95.75594148466105,90.61166429587483
37,12,40,32,614,652,60,98,86.23595505617978,91.57303370786516,88.90449438202246,0.779200432206592,95.27709174977906,91.0979228486647
38,13,40,32,605,670,42,107,84.97191011235955,94.10112359550563,89.53651685393258,0.7940461513529163,95.7787250662795,93.50850077279753
39,14,40,32,640,644,68,72,89.8876404494382,90.4494382022472,90.1685393258427,0.8033834646793936,96.1674267769221,90.3954802259887
40,5,50,32,635,630,82,77,89.18539325842697,88.48314606741573,88.83426966292134,0.7767045451302605,94.96167229516475,88.56345885634589
41,6,50,32,652,623,89,60,91.57303370786516,87.5,89.53651685393258,0.7913870494282769,95.50551934730463,87.98920377867746
42,7,50,32,574,669,43,138,80.6179775280899,93.96067415730337,87.28932584269663,0.7525150181786783,94.43035128140387,93.03079416531604
43,8,50,32,616,651,61,96,86.51685393258427,91.43258426966293,88.9747191011236,0.780437893208441,95.40284528468628,90.98966026587888
44,9,50,32,633,647,65,79,88.90449438202246,90.87078651685393,89.8876404494382,0.7979070714962604,96.10183767832345,90.68767908309455
45,10,50,32,635,643,69,77,89.18539325842697,90.30898876404494,89.74719101123596,0.7949940044879064,96.03930611665194,90.19886363636364
46,11,50,32,647,637,75,65,90.87078651685393,89.46629213483146,90.1685393258427,0.8034500348816652,96.17078020451963,89.61218836565097
47,12,50,32,639,633,79,73,89.74719101123596,88.90449438202246,89.32584269662921,0.7865447821799606,95.59310298573413,88.99721448467966
48,13,50,32,626,644,68,86,87.92134831460675,90.4494382022472,89.18539325842697,0.7839584284739229,95.72783187097589,90.20172910662824
49,14,50,32,642,639,73,70,90.1685393258427,89.74719101123596,89.95786516853933,0.7991643973609505,96.00330608509027,89.79020979020979
50,5,60,32,638,634,78,74,89.60674157303372,89.04494382022472,89.32584269662921,0.786529266119686,94.84045575053655,89.10614525139665
51,6,60,32,641,631,81,71,90.02808988764045,88.62359550561798,89.32584269662921,0.7865944397442877,95.66194688170685,88.78116343490305
52,7,60,32,651,594,118,61,91.43258426966293,83.42696629213484,87.42977528089888,0.751005969582588,95.22708622648655,84.6553966189857
53,8,60,32,651,616,96,61,91.43258426966293,86.51685393258427,88.9747191011236,0.780437893208441,95.62930027774271,87.14859437751004
54,9,60,32,613,658,54,99,86.09550561797754,92.41573033707866,89.25561797752809,0.7866851481296271,95.06257101376087,91.904047976012
55,10,60,32,617,664,48,95,86.65730337078652,93.25842696629213,89.95786516853933,0.800904171701214,95.80071960611033,92.78195488721805
56,11,60,32,640,637,75,72,89.8876404494382,89.46629213483146,89.67696629213484,0.7935463699629824,95.43578777932079,89.5104895104895
57,12,60,32,659,591,121,53,92.5561797752809,83.00561797752809,87.78089887640449,0.7590878508741924,95.51952483903547,84.48717948717949
58,13,60,32,650,608,104,62,91.29213483146067,85.39325842696628,88.34269662921348,0.768191625604573,95.57406735260699,86.20689655172413
59,14,60,32,649,635,77,63,91.15168539325843,89.18539325842697,90.1685393258427,0.8035261353800369,95.87705939906577,89.39393939393939
60,5,70,32,638,626,86,74,89.60674157303372,87.92134831460675,88.76404494382022,0.7753910335649442,94.77417624037369,88.12154696132598
61,6,70,32,630,641,71,82,88.48314606741573,90.02808988764045,89.25561797752809,0.7852060736540464,94.99599561292766,89.87161198288159
62,7,70,32,617,651,61,95,86.65730337078652,91.43258426966293,89.04494382022472,0.781790755896489,95.17136015023357,91.00294985250737
63,8,70,32,627,640,72,85,88.06179775280899,89.8876404494382,88.9747191011236,0.7796243445991967,95.1667245297311,89.69957081545064
